date,open,high,low,close,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,170.16000366210938,180.10000610351562,164.6999969482422,167.42999267578125,,,167.42999267578125,167.42999267578125
2018-02-28,167.1699981689453,180.6199951171875,150.24000549316406,178.1199951171875,,,169.37362948330963,168.44808814639137
2018-03-31,178.5399932861328,183.5,164.94000244140625,167.77999877929688,,,169.0838784462164,168.38446058762045
2018-04-30,166.63999938964844,178.94000244140625,160.6300048828125,165.25999450683594,,,168.3886268208745,168.0868923894505
2018-05-31,166.41000366210938,190.3699951171875,165.27000427246094,186.8699951171875,,,171.74887560202228,169.87575931590166
2018-06-30,187.9900054931641,194.1999969482422,180.72999572753903,185.1100006103516,,,174.17817105808214,171.3266394391826
2018-07-31,183.82000732421875,195.9600067138672,183.4199981689453,190.2899932861328,,,177.10759328136407,173.13267313889216
2018-08-31,199.1300048828125,228.8699951171875,197.30999755859372,227.6300048828125,,,186.29348629980922,178.32289520974172
2018-09-30,228.41000366210932,229.6699981689453,215.3000030517578,225.7400054931641,,,193.465580698601,182.83881047482956
2018-10-31,227.9499969482422,233.47000122070312,206.08999633789065,218.8600006103516,191.30899810791016,,198.0827479552829,186.26940001154594
2018-11-30,219.0500030517578,222.3600006103516,170.25999450683594,178.5800018310547,192.4239990234375,,194.53679411451412,185.5370763753087
2018-12-31,184.4600067138672,184.94000244140625,146.58999633789062,157.74000549316406,190.38600006103516,,187.84646891063227,182.88973629129492
2019-01-31,154.88999938964844,169.0,142.0,166.44000244140625,190.2520004272461,,183.9543840980457,181.3230949722579
2019-02-28,166.9600067138672,175.8699951171875,165.92999267578125,173.14999389648438,191.04100036621094,,181.9899495159436,180.54470439361282
2019-03-31,174.27999877929688,197.69000244140625,169.5,189.9499969482422,191.3490005493164,,183.4372308672706,181.44044654167277
2019-04-30,191.63999938964844,208.47999572753903,188.3800048828125,200.6699981689453,192.90500030517578,,186.5704612857569,183.2718324109368
2019-05-31,209.8800048828125,215.30999755859372,174.99000549316406,175.07000732421875,191.38300170898438,,184.4794696563863,182.49070621220176
2019-06-30,175.60000610351562,201.57000732421875,170.27000427246094,197.9199981689453,188.41200103759766,,186.9232021132152,183.96016258903447
2019-07-31,203.1699981689453,221.3699951171875,198.41000366210932,213.0399932861328,187.14199981689453,,191.6717095992002,186.7296702744724
2019-08-31,213.8999938964844,218.02999877929688,192.5800018310547,208.7400054931641,186.13000030517577,188.71949920654296,194.77503612537544,188.82589267625255
2019-09-30,206.42999267578125,226.4199981689453,204.22000122070312,223.97000122070312,190.66900024414062,191.54649963378907,200.08321159725318,192.1729506328669
2019-10-31,225.07000732421875,249.75,215.1300048828125,248.7599945068359,199.7709991455078,195.0784996032715,208.93353576263186,197.56219290657825
2019-11-30,249.5399932861328,268.0,249.16000366210932,267.25,209.85199890136718,200.05199966430663,219.53652926033516,204.19912691547557
2019-12-31,267.2699890136719,293.9700012207031,256.2900085449219,293.6499938964844,221.9019989013672,206.47149963378905,233.0117046487259,212.71825710414308
